n.title,t.ratingaverage,t.ratingcount
Basquiat (1996),3.25,44
Indian Summer (1996),3.25,20
Austin Powers: International Man of Mystery (1997),3.246153846153846,130
"Associate, The (1996)",3.2439024390243905,41
Escape from New York (1981),3.241758241758242,91
Outbreak (1995),3.2403846153846154,104
Fearless (1993),3.24,25
Trees Lounge (1996),3.24,50
Naked (1993),3.24,25
"Big Blue, The (Grand bleu, Le) (1988)",3.235294117647059,17
"Frighteners, The (1996)",3.234782608695652,115
Bed of Roses (1996),3.2333333333333334,60
Starship Troopers (1997),3.2322274881516586,211
One Fine Day (1996),3.232142857142857,112
Withnail and I (1987),3.230769230769231,13
Switchblade Sisters (1975),3.230769230769231,13
Carrington (1995),3.230769230769231,13
Roommates (1995),3.230769230769231,13
Telling Lies in America (1997),3.230769230769231,13
Basic Instinct (1992),3.227722772277228,101
Robin Hood: Prince of Thieves (1991),3.2266666666666666,75
2 Days in the Valley (1996),3.225806451612903,93
"Paper, The (1994)",3.225,40
"Postman, The (1997)",3.2241379310344827,58
Great Expectations (1998),3.2222222222222223,27
M. Butterfly (1993),3.2222222222222223,18
Kalifornia (1993),3.2203389830508473,59
Scream 2 (1997),3.2169811320754715,106
Twister (1996),3.2150170648464163,293
Homeward Bound: The Incredible Journey (1993),3.2131147540983607,61
Matilda (1996),3.210526315789474,95
Gridlock'd (1997),3.210526315789474,19
Powder (1995),3.2083333333333335,48
"Quick and the Dead, The (1995)",3.2083333333333335,48
Young Guns (1988),3.207920792079208,101
GoldenEye (1995),3.2061068702290076,131
French Twist (Gazon maudit) (1995),3.2051282051282053,39
Bulletproof (1996),3.204081632653061,49
"Ghost and the Darkness, The (1996)",3.203125,128
"Trigger Effect, The (1996)",3.2,35
Go Fish (1994),3.2,15
"Mask, The (1994)",3.193798449612403,129
Forget Paris (1995),3.193548387096774,62
Oscar & Lucinda (1997),3.1904761904761907,21
Up Close and Personal (1996),3.1882352941176473,85
Tie Me Up! Tie Me Down! (1990),3.1875,32
Interview with the Vampire (1994),3.1824817518248176,137
Mother Night (1996),3.1818181818181817,22
My Crazy Life (Mi vida loca) (1993),3.1818181818181817,11
Passion Fish (1992),3.1785714285714284,28
Blue in the Face (1995),3.1777777777777776,45
"MatchMaker, The (1997)",3.176470588235294,51
Malice (1993),3.1739130434782608,46
Extreme Measures (1996),3.171875,64
"Nightmare on Elm Street, A (1984)",3.171171171171171,111
Soul Food (1997),3.169491525423729,59
Little Lord Fauntleroy (1936),3.1666666666666665,12
Amateur (1994),3.1666666666666665,18
Smilla's Sense of Snow (1997),3.1666666666666665,48
Love & Human Remains (1993),3.1666666666666665,12
Stalingrad (1993),3.1666666666666665,12
"Star Maker, The (Uomo delle stelle, L') (1995)",3.1666666666666665,12
Tom and Huck (1995),3.1666666666666665,12
Bread and Chocolate (Pane e cioccolata) (1973),3.1666666666666665,12
Lost in Space (1998),3.1666666666666665,18
Addicted to Love (1997),3.1666666666666665,54
"Bridges of Madison County, The (1995)",3.1641791044776117,67
My Fellow Americans (1996),3.1627906976744184,86
Midnight in the Garden of Good and Evil (1997),3.1625,80
Cool Runnings (1993),3.161764705882353,68
"Kiss Me, Guido (1997)",3.161290322580645,31
Tin Cup (1996),3.160621761658031,193
Fear (1996),3.159090909090909,44
Bram Stoker's Dracula (1992),3.158333333333333,120
Liar Liar (1997),3.156701030927835,485
Home for the Holidays (1995),3.1551724137931036,58
Things to Do in Denver when You're Dead (1995),3.1549295774647885,71
Manny & Lo (1996),3.1538461538461537,13
Only You (1994),3.1538461538461537,39
"Corrina, Corrina (1994)",3.1538461538461537,39
Demolition Man (1993),3.152173913043478,92
Eraser (1996),3.150485436893204,206
"Jackal, The (1997)",3.1494252873563218,87
Pollyanna (1960),3.1481481481481484,27
"Fox and the Hound, The (1981)",3.1475409836065573,61
Boys on the Side (1995),3.1470588235294117,34
Fallen (1998),3.1463414634146343,41
"River Wild, The (1994)",3.143835616438356,146
Jack (1996),3.142857142857143,70
Wild Reeds (1994),3.142857142857143,14
Just Cause (1995),3.142857142857143,28
Palmetto (1998),3.142857142857143,14
Stargate (1994),3.141732283464567,127
City Hall (1996),3.1392405063291138,79
Lost Highway (1997),3.136,125
Princess Caraboo (1994),3.1333333333333333,15
"Bye Bye, Love (1995)",3.1333333333333333,15
Inventing the Abbotts (1997),3.130434782608696,23
Ruby in Paradise (1993),3.130434782608696,23
Mother (1996),3.1301775147928996,169
Kingpin (1996),3.1296296296296298,162
"Aristocats, The (1970)",3.1296296296296298,54
James and the Giant Peach (1996),3.126984126984127,126
"Saint, The (1997)",3.1234177215189876,316
Nixon (1995),3.1222222222222222,90
From Dusk Till Dawn (1996),3.119565217391304,92
Farinelli: il castrato (1994),3.1176470588235294,17
"Craft, The (1996)",3.1153846153846154,104
Fierce Creatures (1997),3.1145833333333335,96
Andre (1994),3.111111111111111,18
Afterglow (1997),3.111111111111111,18
Star Trek III: The Search for Spock (1984),3.111111111111111,171
"Devil's Own, The (1997)",3.1083333333333334,240
Bad Boys (1995),3.1052631578947367,57
Surviving Picasso (1996),3.1052631578947367,19
Dirty Dancing (1987),3.1020408163265305,98
Wyatt Earp (1994),3.1,50
"Santa Clause, The (1994)",3.097560975609756,82
Alien: Resurrection (1997),3.096774193548387,124
Timecop (1994),3.096774193548387,31
"Parent Trap, The (1961)",3.095890410958904,73
Love Jones (1997),3.0952380952380953,42
"Fan, The (1996)",3.09375,64
"Chamber, The (1996)",3.0930232558139537,43
Critical Care (1997),3.090909090909091,11
Anna Karenina (1997),3.090909090909091,33
Home Alone (1990),3.0875912408759123,137
Murder at 1600 (1997),3.0871559633027523,218
Live Nude Girls (1995),3.0869565217391304,23
Speechless (1994),3.0833333333333335,36
Dragonheart (1996),3.0822784810126582,158
Billy Madison (1995),3.081081081081081,37
Tin Men (1987),3.0784313725490198,51
Casper (1995),3.076923076923077,52
Kids in the Hall: Brain Candy (1996),3.076923076923077,65
"Life Less Ordinary, A (1997)",3.0754716981132075,53
Spanking the Monkey (1994),3.074074074074074,27
Bedknobs and Broomsticks (1971),3.0701754385964914,57
To Gillian on Her 37th Birthday (1996),3.0681818181818183,44
Mary Shelley's Frankenstein (1994),3.0677966101694913,59
With Honors (1994),3.0652173913043477,46
Romy and Michele's High School Reunion (1997),3.061224489795918,98
Kids (1995),3.061224489795918,49
I Know What You Did Last Summer (1997),3.06,100
Beyond Rangoon (1995),3.0555555555555554,18
So I Married an Axe Murderer (1993),3.0526315789473686,95
Star Maps (1997),3.0526315789473686,19
"Adventures of Pinocchio, The (1996)",3.051282051282051,39
Ace Ventura: Pet Detective (1994),3.0485436893203883,103
Conan the Barbarian (1981),3.046728971962617,107
Nick of Time (1995),3.0454545454545454,44
Mrs. Winterbourne (1996),3.0454545454545454,22
"House of the Spirits, The (1993)",3.0416666666666665,24
Grumpier Old Men (1995),3.0405405405405403,148
"Arrival, The (1996)",3.036144578313253,83
"Ref, The (1994)",3.0344827586206895,58
Star Trek: The Motion Picture (1979),3.034188034188034,117
Four Rooms (1995),3.033333333333333,90
Broken Arrow (1996),3.031496062992126,254
Eye for an Eye (1996),3.03125,32
"Howling, The (1981)",3.026315789473684,38
"Cook the Thief His Wife & Her Lover, The (1989)",3.024390243902439,82
187 (1997),3.024390243902439,41
First Knight (1995),3.0232558139534884,86
Junior (1994),3.022222222222222,45
Cliffhanger (1993),3.021505376344086,93
Barcelona (1994),3.018867924528302,53
"First Wives Club, The (1996)",3.01875,160
She's the One (1996),3.0136986301369864,73
"Net, The (1995)",3.0083333333333333,120
Romeo Is Bleeding (1993),3.0,37
Disclosure (1994),3.0,40
Robert A. Heinlein's The Puppet Masters (1994),3.0,18
Jude (1996),3.0,23
"House of Yes, The (1997)",3.0,18
"Crossing Guard, The (1995)",3.0,28
Body Snatchers (1993),3.0,36
Dumb & Dumber (1994),3.0,69
"Shaggy Dog, The (1959)",3.0,30
Fools Rush In (1997),3.0,24
Renaissance Man (1994),3.0,43
Balto (1995),3.0,16
Carried Away (1996),3.0,11
I'm Not Rappaport (1996),3.0,17
Blink (1994),3.0,19
Clockers (1995),3.0,33
Losing Isaiah (1995),3.0,12
Sirens (1994),2.983050847457627,59
Evita (1996),2.9806949806949805,259
"Doors, The (1991)",2.9782608695652173,46
Tales From the Crypt Presents: Demon Knight (1995),2.9767441860465116,43
Escape to Witch Mountain (1975),2.966666666666667,30
FairyTale: A True Story (1997),2.966666666666667,30
Picture Perfect (1997),2.962962962962963,81
Reality Bites (1994),2.961038961038961,77
Private Benjamin (1980),2.955223880597015,67
Natural Born Killers (1994),2.953125,128
"Lost World: Jurassic Park, The (1997)",2.9430379746835444,158
Mute Witness (1994),2.9411764705882355,17
Body Snatchers (1993),2.9393939393939394,33
"Prophecy, The (1995)",2.9375,32
Dante's Peak (1997),2.933333333333333,240
Money Talks (1997),2.933333333333333,45
Foxfire (1996),2.933333333333333,15
Fire Down Below (1997),2.9318181818181817,44
Hoodlum (1997),2.9315068493150687,73
"Evening Star, The (1996)",2.9310344827586206,29
Nine Months (1995),2.9310344827586206,58
Sphere (1998),2.926829268292683,41
"Preacher's Wife, The (1996)",2.926470588235294,68
First Kid (1996),2.925,40
Palookaville (1996),2.923076923076923,13
Kicking and Screaming (1995),2.923076923076923,13
"Man Who Knew Too Little, The (1997)",2.923076923076923,52
Angels in the Outfield (1994),2.923076923076923,39
Metro (1997),2.9166666666666665,36
"Nutty Professor, The (1996)",2.914110429447853,163
"Davy Crockett, King of the Wild Frontier (1955)",2.909090909090909,11
Tommy Boy (1995),2.909090909090909,66
"Truman Show, The (1998)",2.909090909090909,11
101 Dalmatians (1996),2.908256880733945,109
Rising Sun (1993),2.9069767441860463,43
Hard Rain (1998),2.903225806451613,31
Georgia (1995),2.9,30
"Goofy Movie, A (1995)",2.9,20
Father of the Bride Part II (1995),2.8984375,128
Judge Dredd (1995),2.8974358974358974,39
Cat People (1982),2.8958333333333335,48
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",2.8947368421052633,57
"Shadow, The (1994)",2.888888888888889,45
Diabolique (1996),2.887323943661972,71
In the Mouth of Madness (1995),2.8846153846153846,26
"Smile Like Yours, A (1997)",2.88,25
"Relic, The (1997)",2.88,25
Mulholland Falls (1996),2.8780487804878048,82
Mortal Kombat (1995),2.877551020408163,49
Bastard Out of Carolina (1996),2.875,16
Party Girl (1995),2.875,16
Little Big League (1994),2.875,16
Assassins (1995),2.871794871794872,39
Cemetery Man (Dellamorte Dellamore) (1994),2.869565217391304,23
Species (1995),2.8666666666666667,45
Shadow Conspiracy (1997),2.8636363636363638,44
Blood & Wine (1997),2.8636363636363638,22
Deceiver (1997),2.857142857142857,28
Tank Girl (1995),2.8536585365853657,41
Kiss of Death (1995),2.85,20
Mars Attacks! (1996),2.847926267281106,217
Before and After (1996),2.8461538461538463,26
Aladdin and the King of Thieves (1996),2.8461538461538463,26
"Transformers: The Movie, The (1986)",2.84375,32
Cats Don't Dance (1997),2.84375,32
"Apple Dumpling Gang, The (1975)",2.84,25
"Program, The (1993)",2.838709677419355,31
Threesome (1994),2.838709677419355,31
Multiplicity (1996),2.8358208955223883,134
Firestorm (1998),2.8333333333333335,18
For Love or Money (1993),2.8333333333333335,12
Love Affair (1994),2.8333333333333335,12
Shiloh (1997),2.8333333333333335,12
Houseguest (1994),2.8333333333333335,24
Alien 3 (1992),2.83,100
Until the End of the World (Bis ans Ende der Welt) (1991),2.8260869565217392,23
Switchback (1997),2.823529411764706,17
Blues Brothers 2000 (1998),2.8214285714285716,28
Mary Reilly (1996),2.8205128205128207,39
"Indian in the Cupboard, The (1995)",2.8205128205128207,39
"Juror, The (1996)",2.817073170731707,82
Addams Family Values (1993),2.8160919540229883,87
Serial Mom (1994),2.814814814814815,54
Boomerang (1992),2.8125,32
"Air Up There, The (1994)",2.8125,16
Volcano (1997),2.808219178082192,219
Waterworld (1995),2.803921568627451,102
"Brady Bunch Movie, The (1995)",2.8026315789473686,76
Cobb (1994),2.8,15
Wes Craven's New Nightmare (1994),2.8,35
Maximum Risk (1996),2.8,20
Beavis and Butt-head Do America (1996),2.7884615384615383,156
Naked Gun 33 1/3: The Final Insult (1994),2.782608695652174,69
Homeward Bound II: Lost in San Francisco (1996),2.78125,32
"Love Bug, The (1969)",2.78,50
Space Jam (1996),2.774193548387097,93
Young Guns II (1990),2.772727272727273,44
Oliver & Company (1988),2.772727272727273,22
Daylight (1996),2.7719298245614037,57
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2.7714285714285714,35
Something to Talk About (1995),2.769230769230769,26
Hot Shots! Part Deux (1993),2.764705882352941,68
How to Be a Player (1997),2.761904761904762,21
Muppet Treasure Island (1996),2.761904761904762,84
Girl 6 (1996),2.76,25
Blown Away (1994),2.7586206896551726,29
If Lucy Fell (1996),2.7586206896551726,29
"Great White Hype, The (1996)",2.7551020408163267,49
Flubber (1997),2.7547169811320753,53
"Glimmer Man, The (1996)",2.75,48
Drop Dead Fred (1991),2.75,24
Exit to Eden (1994),2.75,16
Last Action Hero (1993),2.7457627118644066,59
Mimic (1997),2.742574257425743,101
"Fog, The (1980)",2.739130434782609,23
Virtuosity (1995),2.736842105263158,38
She's So Lovely (1997),2.7358490566037736,53
Color of Night (1994),2.7333333333333334,15
Milk Money (1994),2.72972972972973,37
"Kid in King Arthur's Court, A (1995)",2.727272727272727,22
Wild Things (1998),2.727272727272727,11
Sudden Death (1995),2.723404255319149,47
Candyman (1992),2.723076923076923,65
"Little Rascals, The (1994)",2.7222222222222223,18
Dead Presidents (1995),2.7222222222222223,18
Pete's Dragon (1977),2.7209302325581395,43
"Blob, The (1958)",2.717391304347826,46
Days of Thunder (1990),2.7169811320754715,53
Kull the Conqueror (1997),2.7142857142857144,35
Down Periscope (1996),2.702970297029703,101
Money Talks (1997),2.702127659574468,47
Wolf (1994),2.701492537313433,67
Chain Reaction (1996),2.7,80
Harriet the Spy (1996),2.7,40
"Prophecy II, The (1998)",2.7,20
Eddie (1996),2.7,40
Hard Target (1993),2.7,40
"Substitute, The (1996)",2.693877551020408,49
"Heidi Fleiss: Hollywood Madam (1995) ",2.6923076923076925,13
Alaska (1996),2.6923076923076925,13
Gang Related (1997),2.6875,16
George of the Jungle (1997),2.685185185185185,162
Out to Sea (1997),2.6842105263157894,19
Amos & Andrew (1993),2.6842105263157894,19
Batman Returns (1992),2.683098591549296,142
Village of the Damned (1995),2.6818181818181817,22
Judgment Night (1993),2.68,25
"Portrait of a Lady, The (1996)",2.68,25
Terminal Velocity (1994),2.676470588235294,34
Ace Ventura: When Nature Calls (1995),2.675675675675676,37
"Scout, The (1994)",2.6666666666666665,12
Jaws 2 (1978),2.6666666666666665,66
April Fool's Day (1986),2.6666666666666665,15
Batman Forever (1995),2.6666666666666665,114
Last Man Standing (1996),2.660377358490566,53
Bean (1997),2.659340659340659,91
Screamers (1995),2.652173913043478,46
Fled (1996),2.6470588235294117,34
Angus (1995),2.642857142857143,14
"Perez Family, The (1995)",2.642857142857143,14
Tales from the Crypt Presents: Bordello of Blood (1996),2.6363636363636362,55
American Buffalo (1996),2.6363636363636362,11
Black Sheep (1996),2.6363636363636362,55
Johnny Mnemonic (1995),2.6341463414634148,41
Fatal Instinct (1993),2.6315789473684212,19
Playing God (1997),2.627906976744186,43
Feeling Minnesota (1996),2.625,32
High School High (1996),2.6206896551724137,29
Weekend at Bernie's (1989),2.6166666666666667,60
Spawn (1997),2.6153846153846154,143
Hackers (1995),2.606060606060606,33
Miami Rhapsody (1995),2.6,15
Two if by Sea (1996),2.6,25
Robin Hood: Men in Tights (1993),2.5892857142857144,56
Striking Distance (1993),2.5833333333333335,12
Fathers' Day (1997),2.5806451612903225,31
D3: The Mighty Ducks (1996),2.5789473684210527,19
"Phantom, The (1996)",2.575,80
Event Horizon (1997),2.574803149606299,127
Barbarella (1968),2.5714285714285716,28
Sgt. Bilko (1996),2.5675675675675675,74
"Amityville Horror, The (1979)",2.5660377358490565,53
Turbulence (1997),2.5652173913043477,23
Cabin Boy (1994),2.5625,16
Kull the Conqueror (1997),2.5588235294117645,34
Air Bud (1997),2.558139534883721,43
Drop Zone (1994),2.5483870967741935,31
Crash (1996),2.546875,128
Bogus (1996),2.5454545454545454,22
City Slickers II: The Legend of Curly's Gold (1994),2.5454545454545454,44
Excess Baggage (1997),2.5384615384615383,52
Mixed Nuts (1994),2.533333333333333,15
Pocahontas (1995),2.5294117647058822,51
Trial and Error (1997),2.5217391304347827,23
House Arrest (1996),2.52,25
Heaven's Prisoners (1996),2.5185185185185186,27
Made in America (1993),2.5185185185185186,27
"Quest, The (1996)",2.5185185185185186,27
Operation Dumbo Drop (1995),2.5161290322580645,31
That Darn Cat! (1997),2.515151515151515,33
Spy Hard (1996),2.511627906976744,43
Money Train (1995),2.511627906976744,43
Waiting to Exhale (1995),2.5,16
Marked for Death (1990),2.5,22
Dear God (1996),2.5,12
Another Stakeout (1993),2.5,28
Wild Bill (1995),2.5,12
Half Baked (1998),2.5,20
"Big Green, The (1995)",2.5,14
Son in Law (1993),2.4871794871794872,39
Mouse Hunt (1997),2.477272727272727,44
Major Payne (1994),2.473684210526316,19
That Darn Cat! (1965),2.473684210526316,19
Madonna: Truth or Dare (1991),2.4705882352941178,17
Escape from L.A. (1996),2.4615384615384617,91
Under Siege 2: Dark Territory (1995),2.4583333333333335,48
Free Willy (1993),2.4545454545454546,33
Surviving the Game (1994),2.4545454545454546,11
Congo (1995),2.4523809523809526,42
Batman & Robin (1997),2.4516129032258065,62
Flipper (1996),2.45,20
Thinner (1996),2.4489795918367347,49
"Lawnmower Man, The (1992)",2.4461538461538463,65
Wishmaster (1997),2.4444444444444446,27
Cutthroat Island (1995),2.4444444444444446,18
Jungle2Jungle (1997),2.4393939393939394,132
Fluke (1995),2.4285714285714284,14
Deep Rising (1998),2.4285714285714284,14
Candyman: Farewell to the Flesh (1995),2.4285714285714284,21
For Richer or Poorer (1997),2.4285714285714284,14
"Funeral, The (1996)",2.4285714285714284,21
Richie Rich (1994),2.4285714285714284,21
Lord of Illusions (1995),2.4166666666666665,24
"Thin Line Between Love and Hate, A (1996)",2.4166666666666665,12
Stephen King's The Langoliers (1995),2.413793103448276,29
Canadian Bacon (1994),2.413793103448276,29
Rocket Man (1997),2.4081632653061225,49
Sliver (1993),2.4054054054054053,37
Vegas Vacation (1997),2.4,75
"Rich Man's Wife, The (1996)",2.4,15
"Very Brady Sequel, A (1996)",2.3978494623655915,93
Star Trek V: The Final Frontier (1989),2.3968253968253967,63
Beverly Hills Cop III (1994),2.392857142857143,28
Airheads (1994),2.34375,32
"Cable Guy, The (1996)",2.339622641509434,106
"Getaway, The (1994)",2.3333333333333335,18
"Pallbearer, The (1996)",2.3181818181818183,22
"Beautician and the Beast, The (1997)",2.313953488372093,86
Beverly Hills Ninja (1997),2.3125,48
Cops and Robbersons (1994),2.3076923076923075,13
Mr. Wrong (1996),2.3043478260869565,23
"Road to Wellville, The (1994)",2.2941176470588234,17
Jade (1995),2.2941176470588234,17
Anaconda (1997),2.289473684210526,38
Dracula: Dead and Loving It (1995),2.28,25
In the Army Now (1994),2.2777777777777777,18
Mighty Morphin Power Rangers: The Movie (1995),2.272727272727273,11
Herbie Rides Again (1974),2.272727272727273,11
Kansas City (1996),2.260869565217391,23
"Pagemaster, The (1994)",2.25,12
"Believers, The (1987)",2.25,16
"Beverly Hillbillies, The (1993)",2.25,20
"Specialist, The (1994)",2.25,20
Joe's Apartment (1996),2.2444444444444445,45
Keys to Tulsa (1997),2.24,25
Striptease (1996),2.2388059701492535,67
Double Team (1997),2.230769230769231,13
Phantoms (1998),2.230769230769231,13
Coneheads (1993),2.2195121951219514,41
"Cowboy Way, The (1994)",2.210526315789474,19
Celtic Pride (1996),2.2,15
Boxing Helena (1993),2.2,15
Halloween: The Curse of Michael Myers (1995),2.2,25
McHale's Navy (1997),2.1884057971014492,69
"Addiction, The (1995)",2.1818181818181817,11
Free Willy 2: The Adventure Home (1995),2.1818181818181817,11
Fair Game (1995),2.1818181818181817,11
Booty Call (1997),2.1666666666666665,48
"NeverEnding Story III, The (1994)",2.1666666666666665,12
Audrey Rose (1977),2.1666666666666665,12
Steel (1997),2.1578947368421053,19
"Island of Dr. Moreau, The (1996)",2.1578947368421053,57
Heavyweights (1994),2.1538461538461537,13
Poison Ivy II (1995),2.1538461538461537,13
Mad Love (1995),2.1538461538461537,13
Speed 2: Cruise Control (1997),2.1315789473684212,38
Highlander III: The Sorcerer (1994),2.125,16
Stuart Saves His Family (1995),2.125,16
Spice World (1997),2.1153846153846154,26
Jingle All the Way (1996),2.111111111111111,18
Super Mario Bros. (1993),2.076923076923077,26
"Flintstones, The (1994)",2.064516129032258,31
Tales from the Hood (1995),2.037037037037037,27
"Stupids, The (1996)",2.0,17
Grease 2 (1982),2.0,24
Jury Duty (1995),2.0,14
Hellraiser: Bloodline (1996),2.0,18
Showgirls (1995),1.9565217391304348,23
Mortal Kombat: Annihilation (1997),1.9534883720930232,43
"Crow: City of Angels, The (1996)",1.9487179487179487,39
Jaws 3-D (1983),1.9375,16
Barb Wire (1996),1.9333333333333333,30
Mr. Magoo (1997),1.9166666666666667,12
Bio-Dome (1996),1.903225806451613,31
Home Alone 3 (1997),1.894736842105263,19
All Dogs Go to Heaven 2 (1996),1.8666666666666667,15
Big Bully (1996),1.8571428571428572,14
Leave It to Beaver (1997),1.8409090909090908,44
Solo (1996),1.8333333333333333,12
Vampire in Brooklyn (1995),1.8333333333333333,12
Ready to Wear (Pret-A-Porter) (1994),1.8333333333333333,18
Gone Fishin' (1997),1.8181818181818181,11
Free Willy 3: The Rescue (1997),1.7407407407407407,27
Robocop 3 (1993),1.7272727272727273,11
Lawnmower Man 2: Beyond Cyberspace (1996),1.7142857142857142,21
Amityville II: The Possession (1982),1.6428571428571428,14
Body Parts (1991),1.6153846153846154,13
Children of the Corn: The Gathering (1996),1.3157894736842106,19
